"taxon_name","Mass_g","activity_nocturnal","diet","diet_carnivore","diet_granivore","diet_herbivore","diet_inflorescence","diet_invertivore","diet_omnivore","dispersal_HWI","dominant_pyrome","litter_size_n","nest_branch","nest_burrow","nest_cave","nest_ground","nest_hollows","nesting","pyrome_breadth","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_terrestrial","max_longevity_d","activity_cathemeral","activity_crepuscular","activity_diurnal","dispersal_km","home_range_km2","litters_per_year_n","n_offspring_year","stratum_CWD","stratum_aquatic","stratum_fossorial","stratum_grass_hummock","stratum_saxicolous","hibernation_torpor","volant","COMMON_NAME","TaxaGroup","TAXON_ID","TAXON_TYPE"
"Ornithorhynchus anatinus","1225","0","carnivore","1","0","0","0","1","0",NA,"1",2,"0","1","0","0","0","burrow","8","terrestrial","0","0","1",8249,0,"1","0",7.18,0.07,1.1,2.2,NA,"1","1",NA,NA,"0","0","Platypus","Mammals",5136,"Mammals"
"Osphranter robustus robustus","29647.9","0",NA,"0","0","1","0","0",NA,NA,"4",1,"0",NA,NA,NA,NA,NA,"7","terrestrial","0","0","1",8760,0,"1","0",6.838,0.98,1.31,1.31,NA,"0","1",NA,NA,"0","0","Eastern Wallaroo","Mammals",61266,"Mammals"
"Oxyura australis","798","0","herbivore","0","0","1","0","0","0","42.9","1",5.5,"0","0","0","1","0","ground","7","aquatic","0","0","0",5840,NA,NA,NA,NA,NA,1,5.5,NA,"0","0",NA,"0","0","1","Blue-billed Duck","Birds",10216,"Other Non-passerine birds"
"Pachycephala inornata","30.8","0","invertivore","0","0","0","0","1","0","19.8","1",2.65,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.65,NA,"0","0",NA,"0","0","1","Gilbert's Whistler","Birds",10403,"Passerine birds"
"Pachycephala olivacea","41.2","0","invertivore","0","0","0","0","1","0","17.7","4",2.45,"1","0","0","0","0","branch","4","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.45,NA,"0","0",NA,"0","0","1","Olive Whistler","Birds",10405,"Passerine birds"
"Pachycephala pectoralis","30.4","0","invertivore","0","0","0","0","1","0","18","1",1.95,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,1.95,NA,"0","0",NA,"0","0","1","Golden Whistler","Birds",10398,"Passerine birds"
"Pachycephala rufiventris","22.5","0","invertivore","0","0","0","0","1","0","24.1","1",2.45,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.45,NA,"0","0",NA,"0","0","1","Rufous Whistler","Birds",10401,"Passerine birds"
"Pachycephala rufogularis","36.6","0","invertivore","0","0","0","0","1","0","23.5","14",2.2,"1","0","0","0","0","branch","5","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,2.2,NA,"0","0",NA,"0","0","1","Red-lored Whistler","Birds",10402,"Passerine birds"
"Pandion cristatus","1483.2","0","carnivore","1","0","0","0","0","0","44.9","1",3,"0","0","0","1","0","ground","3","aerial","1","0","0",11680,NA,NA,NA,NA,NA,1,3,NA,"0","0",NA,"0","0","1","Osprey","Birds",10241,"Other Non-passerine birds"
"Paracrinia haswelli","1.95",NA,NA,"0","0","1","0","1","0",NA,"4",280,"0","0","0","1","0",NA,"3",NA,"0","0","1",NA,NA,NA,NA,NA,NA,1,280,NA,"1","0",NA,"0","1","0","Haswell's Froglet","Amphibians",13103,"Amphibians"
"Parasuta dwyeri","42.6579518801593","1","carnivore","1","0","0","0","0","0",NA,"1",3.15,"0",NA,"0",NA,"0",NA,"3","terrestrial","0","0","1",2191.68,0,"0","0",0.5,0.5,1,3.15,"0","0","0","0","0","1","0","Dwyer's Snake","Reptiles",12726,"Reptiles"
"Parasuta flagellum","25.1188643150958","1","carnivore","1","0","0","0","0","0",NA,"1",3.55,"0",NA,"0",NA,"0",NA,"5","terrestrial","0","0","1",4380,0,"0","0",0.5,0.5,1,3.55,"0","0","0","0","0","1","0","Little Whip Snake","Reptiles",12727,"Reptiles"
"Parasuta nigriceps","61.6595001861482","1","carnivore","1","0","0","0","0","0",NA,"14",3.72,"0",NA,"0",NA,"0",NA,"7","terrestrial","0","0","1",2191.68,0,"0","0",0.5,0.5,1,3.72,"0","0","0","0","0","1","0","Mitchell's Short-tailed Snake","Reptiles",12724,"Reptiles"
