"TaxonCode","ScientificName","CommonName","LifeForm","HabitatVicForest","Broad_habitat","OpenCountryTolernat_Jradford","FeedGuild","Diet_viaHlada_simplifiedARI_ReadersDigest","NestGuildVicForest","HollowDep","Status","Migration","TaxonGroup","Weight_mean.g","BroodSize_mean","Egg_mass_Lislevand_g","Mating_System_Lislevand","genus"
10341,"Chrysococcyx osculans","Black-eared Cuckoo","Non-passerine Birds","F","F","F","OT","I","BP",0,0,"S","otherFBirds",30,1,4.51913043478261,2.0952380952381,"Chrysococcyx"
10342,"Chrysococcyx basalis","Horsfields Bronze-Cuckoo","Non-passerine Birds","F","F","F","C","I","BP",0,0,"SP","otherFBirds",23,1,1.55,2.0952380952381,"Chrysococcyx"
10344,"Chrysococcyx lucidus","Shining Bronze-Cuckoo","Non-passerine Birds","F","F","F","C","I","BP",0,0,"SP","otherFBirds",25,1,1.73,2,"Chrysococcyx"
10373,"Monarcha melanopsis","Black-faced Monarch","Passerine Birds","F","F","F","C","I","V",0,0,"S","otherFBirds",23,2.5,3.28,2,"Monarcha"
10398,"Pachycephala pectoralis","Golden Whistler","Passerine Birds","F","F","F","TS","I","V",0,0,"L","otherFBirds",25,2.5,3.66,2,"Pachycephala"
10401,"Pachycephala rufiventris","Rufous Whistler","Passerine Birds","F","F","F","C","I","V",0,0,"S","otherFBirds",25,3,3.28,2,"Pachycephala"
10402,"Pachycephala rufogularis","Red-lored Whistler","Passerine Birds","F","F","F","TS","I","V",0,0,"N","otherFBirds",37,2.5,3.44,2,"Pachycephala"
10403,"Pachycephala inornata","Gilberts Whistler","Passerine Birds","F","F","F","TS","I","V",0,0,"N","otherFBirds",30,3,3.6,2,"Pachycephala"
10405,"Pachycephala olivacea","Olive Whistler","Passerine Birds","F","F","F","DG","I","V",0,0,"N","otherFBirds",40,2.5,5.6,2,"Pachycephala"
10416,"Falcunculus frontatus","Crested Shrike-tit","Passerine Birds","F","F","F","B","I","V",0,0,"N","otherFBirds",27,2.5,3.26,2,"Falcunculus"
10430,"Lalage sueurii","White-winged Triller","Passerine Birds","F","F","F","C","I","V",0,0,"S","otherFBirds",26,2,2.7,2,"Lalage"
10441,"Drymodes brunneopygia","Southern Scrub-robin","Passerine Birds","F","F","F","LS","I","V",0,0,"N","otherFBirds",33.5,1.5,4.36,2,"Drymodes"
10445,"Pomatostomus superciliosus","White-browed Babbler","Passerine Birds","F","F","F","TS","I","V",0,0,"N","otherFBirds",40,3.5,3.58,2,"Pomatostomus"
10506,"Pycnoptilus floccosus","Pilotbird","Passerine Birds","F","F","F","DG","I","V",0,0,"N","otherFBirds",27,2,5.15,2,"Pycnoptilus"
10509,"Cincloramphus mathewsi","Rufous Songlark","Passerine Birds","F","F","T","OT","I","G",0,0,"S","otherFBirds",29,2.5,2.8,4,"Cincloramphus"
10544,"Artamus personatus","Masked Woodswallow","Passerine Birds","F","F","T","A","I","V",0,0,"SE","otherFBirds",37,2.5,4.51913043478261,2.0952380952381,"Artamus"
