Species,Order,Suborder,Family,Genus,Description author/s,Description year,Subspecies,Main biogeographic region,Microhabitat,Habitat type,Minimal elevation (m),Maximum elevation (m),Mean Annual Temperature (°C),Temperature Seasonality (standard deviation*100),Seasonality Precipitation (coefficient of variation × 100),Insular/endemic (yes or no),Venomous (yes or no),Diet,Diet: comments,Active time,Dorsal colour,Dorsal pattern,Foraging mode,Pupil Shape,Fangs,Maximum Longevity (years),Maximum body mass (g),"Maximum total length (""TL"", mm)","Maximum length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum female length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum male length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)","Maximum juvenile length (""SVL"", mm)/straight carapace length for turtles (""SCL"", mm)",Hatchling/neonate mass (g),Reproductive mode,Sex-determining mechanism (GSD or TSD),Mean number of offspring per litter or number of eggs per clutch,Smallest clutch size,Largest clutch size,Number of litters or clutches produced per year,Egg length (mm),Egg width (mm),Mean Tb,Minimum Tb,Maximum Tb,Genetic data (yes or not),IUCN redlist assessment,IUCN population trend
Takydromus kuehnei,Squamata,Sauria,Lacertidae,Takydromus,Van Denburgh,1909,"Takydromus kuehnei vietnamensis ZIEGLER & BISCHOFF 1999
Takydromus kuehnei kuehnei VAN DENBURGH 1909",Oriental,Arboreal/Terrestrial,Forest,90,1000,19.170000000000002,5637.3,17.102847000000001,No,No,Carnivorous,Arthropods,Diurnal,NA,NA,NA,NA,non-fanged,NA,6.6069344799999996,NA,65.5,55.2,NA,23.5,NA,oviparous,NA,1.8,1,4,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Takydromus luyeanus,Squamata,Sauria,Lacertidae,Takydromus,Lue & Lin,2008,No,Oriental,NA,Grassland/Shrubland,0,180,NA,NA,17.767859999999999,Yes,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,3.7153522909999999,NA,54.2,48.5,NA,NA,NA,oviparous,NA,2.5,2,3,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Takydromus madaensis,Squamata,Sauria,Lacertidae,Takydromus,Bobrov,2013,No,Oriental,NA,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,2.588163587593677,NA,47.8,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Takydromus sauteri,Squamata,Sauria,Lacertidae,Takydromus,Van Denburgh,1909,No,Oriental,Arboreal,Forest,476,1224,NA,NA,18.363319000000001,Yes,No,Carnivorous,"Omnivorous: mostlyArthropods, 5% snails, 6% seeds",Diurnal,NA,NA,NA,NA,non-fanged,NA,10.471285480000001,NA,76.5,65.8,NA,NA,NA,oviparous,NA,2,1,4,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Takydromus septentrionalis,Squamata,Sauria,Lacertidae,Takydromus,Günther,1864,No,Oriental,Arboreal/Terrestrial,Forest/Grassland/Shrubland,0,1700,13.88,8150.4,19.922414,No,No,Carnivorous,insects (Du etAl. 2006),Diurnal,NA,NA,NA,NA,non-fanged,NA,11.748975550000001,NA,80,60.7,NA,24.6,NA,oviparous,TSD,3.3,1,6,NA,NA,NA,30.35,NA,NA,Yes,NA,NA
Takydromus sexlineatus,Squamata,Sauria,Lacertidae,Takydromus,Daudin,1802,"Takydromus sexlineatus ocellatus (GUÉRIN-MÉNEVILLE 1829)
Takydromus sexlineatus sexlineatus DAUDIN 1802",Oriental,Arboreal/Terrestrial,Forest/Grassland,0,2660,22.7,2460.9,16.651326000000001,No,No,Carnivorous,"Arthropods (e.g., Vassilieva etAl. 2016)",Diurnal,NA,NA,NA,NA,non-fanged,5,7.9432823470000002,NA,70,55.8,NA,19,NA,oviparous,GSD (ZW/ZZ),2.2000000000000002,1,5,4.5,NA,NA,31.6,NA,NA,Yes,Least Concern,Unknown
Takydromus sikkimensis,Squamata,Sauria,Lacertidae,Takydromus,Günther,1888,No,Oriental,NA,Forest,NA,NA,NA,NA,NA,No,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,5.0620256316159731,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Takydromus smaragdinus,Squamata,Sauria,Lacertidae,Takydromus,Boulenger,1887,No,Oriental,Arboreal/Terrestrial,Grassland/Shrubland,407,1376,NA,NA,17.487297999999999,Yes,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,6.4565422899999998,NA,65,50.4,NA,24,NA,oviparous,NA,2,1,2,NA,NA,NA,NA,NA,NA,Yes,Near Threatened,Decreasing
Takydromus stejnegeri,Squamata,Sauria,Lacertidae,Takydromus,Van Denburgh,1912,No,Oriental,NA,Grassland/Rocky,0,1000,NA,NA,22.396037,Yes,No,Carnivorous,Arthropods,Diurnal,NA,NA,ACT,NA,non-fanged,NA,5.6234132519999998,NA,62,54.4,NA,NA,NA,oviparous,NA,2.2000000000000002,1,4,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Takydromus sylvaticus,Squamata,Sauria,Lacertidae,Takydromus,Pope,1928,No,Oriental,Arboreal/Terrestrial,Forest/Shrubland,NA,NA,NA,NA,18.951727000000002,No,No,Carnivorous,insects (YangAnd Wang 2010),Diurnal,NA,NA,NA,NA,non-fanged,NA,4.5708818960000004,NA,58,44.8,NA,NA,NA,oviparous,NA,3,3,3,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Takydromus tachydromoides,Squamata,Sauria,Lacertidae,Takydromus,Schlegel,1838,No,Palearctic,Terrestrial,Forest/Grassland/Shrubland,407,1376,10.88,7977.8,15.342048,Yes,No,Carnivorous,Arthropods (Waltner 1991),Diurnal,NA,NA,ACT,NA,non-fanged,9,7.9432823470000002,NA,70,50.9,NA,24.9,NA,oviparous,NA,4,1,9,4.5,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Takydromus toyamai,Squamata,Sauria,Lacertidae,Takydromus,Takeda & Ota,1996,No,Oriental,Arboreal/Terrestrial,Forest/Grassland/Shrubland,NA,NA,NA,NA,16.796799,Yes,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,3.89045145,NA,54.9,54.9,NA,NA,NA,oviparous,NA,2,2,2,NA,NA,NA,NA,NA,NA,Yes,Endangered,Decreasing
Takydromus viridipunctatus,Squamata,Sauria,Lacertidae,Takydromus,Lue & Lin,2008,No,Oriental,NA,Grassland,0,1000,NA,NA,19.126301999999999,Yes,No,NA,NA,Diurnal,NA,NA,NA,NA,non-fanged,NA,4.8977881940000003,NA,59.5,51,NA,NA,NA,oviparous,NA,2.5,2,3,NA,NA,NA,NA,NA,NA,Yes,NA,NA
Takydromus wolteri,Squamata,Sauria,Lacertidae,Takydromus,Fischer,1885,No,Palearctic,Arboreal,Forest/Grassland/Wetlands,0,430,7.93,10889.7,20.893605000000001,No,No,Carnivorous,"invertebrates (Das 2010), ""insects, spidersAnd other small invertebrates"" (Szczerbak 2003)",Diurnal,NA,NA,NA,NA,non-fanged,NA,6.7608297540000004,NA,66,49.9,NA,21.8,NA,oviparous,NA,3.75,1,9,NA,NA,NA,28.5,NA,NA,Yes,NA,NA
Takydromus yunkaiensis,Squamata,Sauria,Lacertidae,Takydromus,"Wang, Lyu & Wang",2019,No,Oriental,NA,Forest,NA,NA,17.73845,763.52719999999999,NA,No,No,NA,NA,NA,NA,NA,NA,NA,non-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Tantalophis discolor,Squamata,Serpentes,Colubridae,Tantalophis,Günther,1860,No,Neotropic,Terrestrial,Forest,175,2800,NA,NA,0.45,No,NA,NA,NA,NA,NA,NA,NA,subcircular,rear-fanged,NA,50.177035580000002,620,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Vulnerable,Decreasing
Tantilla albiceps,Squamata,Serpentes,Colubridae,Tantilla,Barbour,1925,No,Neotropic,Terrestrial,Forest,NA,NA,NA,NA,0.32,No,NA,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,2.2833201010000002,212,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla alticola,Squamata,Serpentes,Colubridae,Tantilla,Boulenger,1903,No,Neotropic,Terrestrial,Forest,0,2700,NA,NA,0.31,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,6.8617785820000003,327,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Unknown
Tantilla andinista,Squamata,Serpentes,Colubridae,Tantilla,Wilson & Mena,1980,No,Neotropic,Terrestrial,Shrubland,2600,2750,NA,NA,0.42,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,4.8400639520000004,285,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla armillata,Squamata,Serpentes,Colubridae,Tantilla,Cope,1875,No,Neotropic,Terrestrial,Forest,0,1430,NA,NA,0.46,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,19.160551269999999,490,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Tantilla atriceps,Squamata,Serpentes,Colubridae,Tantilla,Günther,1895,No,Nearctic,Terrestrial,Desert/Forest/Shrubland,NA,NA,NA,NA,0.35,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,2.8081933069999998,250,NA,NA,NA,NA,NA,oviparous,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
Tantilla bairdi,Squamata,Serpentes,Colubridae,Tantilla,Stuart,1941,No,Neotropic,Terrestrial,Forest,1500,1550,NA,NA,0.42,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,15.874169009999999,455,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla berguidoi,Squamata,Serpentes,Colubridae,Tantilla,"Batista, Mebert, Lotzkat & Wilson",2016,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,19.054607180000001,NA,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Tantilla bocourti,Squamata,Serpentes,Colubridae,Tantilla,Günther,1895,No,Neotropic,Terrestrial,Forest,NA,NA,NA,NA,0.64,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,11.15701456,450,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Tantilla boipiranga,Squamata,Serpentes,Colubridae,Tantilla,Sawaya & Sazima,2003,No,Neotropic,Terrestrial,Forest/Savanna/Rocky,1200,1200,NA,NA,0.3,No,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,9.7155054560000007,375,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Vulnerable,Unknown
Tantilla brevicauda,Squamata,Serpentes,Colubridae,Tantilla,Mertens,1952,No,Neotropic,Terrestrial,Forest,0,1750,NA,NA,0.44,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,1.323052568,171,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Tantilla briggsi,Squamata,Serpentes,Colubridae,Tantilla,Savitzky & Smith,1971,No,Neotropic,Terrestrial,Forest,NA,NA,NA,NA,0.56000000000000005,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,5.5600705210000001,301,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla calamarina,Squamata,Serpentes,Colubridae,Tantilla,Cope,1866,No,Neotropic,Terrestrial,Forest,0,1700,NA,NA,0.81,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,2.0197010909999999,202,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
Tantilla capistrata,Squamata,Serpentes,Colubridae,Tantilla,Cope,1875,No,Neotropic,Terrestrial,Forest,0,1850,NA,NA,0.25,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,16.501597889999999,462,NA,NA,NA,NA,NA,oviparous,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Tantilla carolina,Squamata,Serpentes,Colubridae,Tantilla,"Palacios-Aguilar, Fucsko, Jiménez-Arcos, Wilson & Mata-Silva",2022,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Tantilla cascadae,Squamata,Serpentes,Colubridae,Tantilla,Wilson & Meyer,1981,No,Neotropic,Terrestrial,Forest,1450,1450,NA,NA,0.69,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,1.082406371,158,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla ceboruca,Squamata,Serpentes,Colubridae,Tantilla,"Canseco-Márquez, Smith, Ponce-Campos, Flores-Villela & Campbell",2007,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,0.79,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,1.846706594,195,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Tantilla coronadoi,Squamata,Serpentes,Colubridae,Tantilla,Hartweg,1944,No,Neotropic,Terrestrial,Forest,1400,1525,NA,NA,0.64,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,2.3384096790000002,214,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Tantilla coronata,Squamata,Serpentes,Colubridae,Tantilla,Baird & Girard,1853,No,Nearctic,Fossorial/Terrestrial,Forest/Shrubland,0,610,NA,NA,0.16,No,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,7.0227450129999998,330,188.5,NA,NA,NA,NA,oviparous,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Tantilla cucullata,Squamata,Serpentes,Colubridae,Tantilla,Minton,1956,No,Nearctic,Terrestrial,Desert/Forest/Shrubland,1300,1700,NA,NA,0.34,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,39.879710780000003,654,NA,NA,NA,NA,NA,oviparous,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
Tantilla cuniculator,Squamata,Serpentes,Colubridae,Tantilla,Smith,1939,No,Neotropic,Terrestrial,Forest,0,50,NA,NA,0.42,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,2.5084832189999999,220,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Tantilla deppei,Squamata,Serpentes,Colubridae,Tantilla,Bocourt,1883,No,Neotropic,Terrestrial,Forest,1500,2500,NA,NA,0.56000000000000005,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,7.0227450129999998,330,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Tantilla excelsa,Squamata,Serpentes,Colubridae,Tantilla,Mccranie & Smith,2017,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Tantilla flavilineata,Squamata,Serpentes,Colubridae,Tantilla,Smith & Burger,1950,No,Neotropic,Terrestrial,Forest,NA,NA,NA,NA,0.43,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,5.1925047199999996,293,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Endangered,Stable
Tantilla gottei,Squamata,Serpentes,Colubridae,Tantilla,Mccranie & Smith,2017,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Tantilla gracilis,Squamata,Serpentes,Colubridae,Tantilla,Baird & Girard,1853,No,Nearctic,Fossorial/Terrestrial,Forest,0,1814,17.73845,763.52719999999999,0.23,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,3.435184757,249,133.80000000000001,NA,NA,NA,NA,oviparous,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Decreasing
Tantilla hendersoni,Squamata,Serpentes,Colubridae,Tantilla,Stafford,2004,No,Neotropic,Terrestrial,Forest,600,600,NA,NA,0.46,No,Yes,NA,NA,NA,NA,NA,NA,subcircular,rear-fanged,NA,4.2990292500000002,272,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla hobartsmithi,Squamata,Serpentes,Colubridae,Tantilla,Taylor,1937,No,Nearctic,Fossorial/Terrestrial,Forest,0,1990,NA,NA,0.51,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,10.04780042,380,NA,NA,NA,NA,NA,oviparous,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Tantilla impensa,Squamata,Serpentes,Colubridae,Tantilla,Campbell,1998,No,Neotropic,Terrestrial,Forest,0,1600,NA,NA,0.46,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,51.808139920000002,725,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Tantilla insulamontana,Squamata,Serpentes,Colubridae,Tantilla,Wilson & Mena,1980,No,Neotropic,Terrestrial,Forest,1250,2200,NA,NA,0.57999999999999996,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,11.738213379999999,404,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Critically Endangered,Unknown
Tantilla jani,Squamata,Serpentes,Colubridae,Tantilla,Günther,1895,No,Neotropic,Terrestrial,Forest,NA,NA,NA,NA,0.4,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1952673370000002,242,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Vulnerable,Unknown
Tantilla johnsoni,Squamata,Serpentes,Colubridae,Tantilla,"Wilson, Vaughn & Dixon",1999,No,Neotropic,Terrestrial,Forest,NA,NA,NA,NA,0.44,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,8.2731671720000008,352,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla lempira,Squamata,Serpentes,Colubridae,Tantilla,Wilson & Mena,1980,No,Neotropic,Terrestrial,Forest,0,1450,NA,NA,0.36,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,3.6130402519999998,254,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Endangered,Unknown
Tantilla lydia,Squamata,Serpentes,Colubridae,Tantilla,"Antúnez-Fonseca, Castro, España, Townsend & Wilson",2020,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Tantilla melanocephala,Squamata,Serpentes,Colubridae,Tantilla,Linnaeus,1758,No,Neotropic,Terrestrial,Forest,0,3080,NA,NA,0.38,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,15.43501301,450,228,NA,NA,NA,NA,oviparous,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Tantilla miyatai,Squamata,Serpentes,Colubridae,Tantilla,Wilson & Knight,1987,No,Neotropic,Terrestrial,Forest,750,750,NA,NA,0.69,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,11.014505399999999,394,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla moesta,Squamata,Serpentes,Colubridae,Tantilla,Günther,1863,No,Neotropic,Terrestrial,Forest,0,280,NA,NA,0.41,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,30.968844399999998,592,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
Tantilla nigra,Squamata,Serpentes,Colubridae,Tantilla,Boulenger,1914,No,Neotropic,Terrestrial,Forest,NA,NA,NA,NA,0.19,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,1.4030514599999999,175,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla nigriceps,Squamata,Serpentes,Colubridae,Tantilla,Kennicott,1860,No,Nearctic,Fossorial/Terrestrial,Desert/Forest/Grassland/Savanna/Shrubland,0,2130,16.684999999999999,769.93470000000002,0.33,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,10.732799099999999,423,NA,NA,NA,NA,NA,oviparous,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Tantilla oaxacae,Squamata,Serpentes,Colubridae,Tantilla,Wilson & Meyer,1971,No,Neotropic,Terrestrial,Forest,NA,NA,NA,NA,0.5,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,4.7970616509999999,284,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla olympia,Squamata,Serpentes,Colubridae,Tantilla,"Townsend, Wilson, Medina-Flores & Herrera-B",2013,No,Neotropic,Terrestrial,NA,NA,NA,NA,NA,0.33,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,7.4631041089999997,338,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA
Tantilla oolitica,Squamata,Serpentes,Colubridae,Tantilla,Telford,1966,No,Nearctic,Terrestrial,Forest/Shrubland,0,10,NA,NA,0.36,No,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,5.1476273539999999,292,NA,NA,NA,NA,NA,oviparous,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,No,Endangered,Decreasing
Tantilla petersi,Squamata,Serpentes,Colubridae,Tantilla,Wilson,1979,No,Neotropic,Terrestrial,Shrubland,2100,2100,NA,NA,0.08,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,14.83265857,443,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Critically Endangered,Unknown
Tantilla planiceps,Squamata,Serpentes,Colubridae,Tantilla,Blainville,1835,No,Nearctic,Fossorial/Terrestrial,Forest/Grassland/Savanna/Shrubland,0,1500,NA,NA,1.1599999999999999,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,10.732799099999999,400,NA,NA,NA,NA,NA,oviparous,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Tantilla psittaca,Squamata,Serpentes,Colubridae,Tantilla,Mccranie,2011,No,Neotropic,Terrestrial,Forest/Savanna,NA,NA,NA,NA,0.44,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.413578640000001,413,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Vulnerable,Unknown
Tantilla relicta,Squamata,Serpentes,Colubridae,Tantilla,Telford,1966,"Tantilla relicta neilli TELFORD 1966
Tantilla relicta pamlica TELFORD 1966
Tantilla relicta relicta TELFORD 1966",Nearctic,Fossorial/Terrestrial,Forest/Shrubland,2,872,NA,NA,0.37,No,Yes,NA,NA,NA,NA,NA,NA,slit (or vertical elliptical),rear-fanged,NA,3.16185027,241,NA,NA,NA,NA,NA,oviparous,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Least Concern,Stable
Tantilla reticulata,Squamata,Serpentes,Colubridae,Tantilla,Cope,1860,No,Neotropic,Terrestrial,Forest,0,1430,NA,NA,0.28000000000000003,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,6.0905778679999996,312,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Tantilla robusta,Squamata,Serpentes,Colubridae,Tantilla,"Canseco-Márquez, Mendelson & Gutiérrez-Mayén",2002,No,Neotropic,Terrestrial,Forest,930,930,NA,NA,0.46,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,13.429844989999999,426,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Data Deficient,Unknown
Tantilla rubra,Squamata,Serpentes,Colubridae,Tantilla,Cope,1875,No,Neotropic,Terrestrial,Forest,0,2600,NA,NA,0.5,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,31.23517906,594,NA,NA,NA,NA,NA,oviparous,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Unknown
Tantilla ruficeps,Squamata,Serpentes,Colubridae,Tantilla,Cope,1894,No,Neotropic,Terrestrial,Forest,0,1600,NA,NA,0.28000000000000003,No,Yes,NA,NA,NA,NA,NA,NA,NA,rear-fanged,NA,20.169029439999999,500,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
Tantilla schistosa,Squamata,Serpentes,Colubridae,Tantilla,Bocourt,1883,No,Neotropic,Terrestrial,Forest,0,1600,NA,NA,0.43,No,Yes,NA,NA,NA,NA,NA,NA,round (or oval),rear-fanged,NA,8.154339706,350,NA,NA,NA,NA,NA,oviparous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Least Concern,Stable
